country_code_BACI,country_name,iso3,AFG,ALB,DZA,AGO,AZE,ARG,AUS,AUT,BHS,BHR,BGD,ARM,BRB,BEL,BMU,BOL,BIH,BRA,BLZ,VGB,BRN,BGR,MMR,BLR,KHM,CMR,CAN,CYM,CAF,LKA,TCD,CHL,CHN,COL,COG,COD,CRI,HRV,CUB,CYP,CZE,BEN,DNK,DOM,ECU,SLV,GNQ,ETH,EST,FJI,FIN,FRA,PYF,GAB,GEO,GMB,DEU,GHA,GRC,GRL,GTM,GIN,GUY,HTI,HND,HKG,HUN,ISL,IDN,IRN,IRQ,IRL,ISR,ITA,CIV,JAM,JPN,KAZ,JOR,KEN,PRK,KOR,KWT,KGZ,LAO,LBN,LVA,LBR,LBY,LTU,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,S19,MNG,MDA,MAR,MOZ,OMN,NPL,NLD,ANT,ABW,NCL,NZL,NIC,NER,NGA,NOR,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,SAU,SEN,SYC,SLE,IND,SGP,SVK,VNM,SVN,ZA1,ZWE,ESP,SDN,SUR,SWE,CHE,SYR,TJK,THA,TGO,TTO,ARE,TUN,TUR,TKM,UGA,UKR,MKD,EGY,GBR,TZA,USA,PUS,BFA,URY,UZB,VEN,YEM,SCG,ZMB
4,Afghanistan,AFG,0,0,.10526316,0,.24074075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15789473,0,0,.15789473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.12121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15789473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Albania,ALB,0,0,0,.11258278,0,0,.1027027,0,0,0,.13592233,0,.14035088,.18181819,0,0,0,0,0,0,0,0,.11904762,0,.10679612,0,.10909091,0,0,0,0,.16666667,.12727273,0,0,0,0,0,0,.10857143,0,0,0,0,0,0,.13548388,0,0,.12727273,0,0,0,0,0,0,0,0,.14545454,0,.10671937,0,0,0,0,0,0,0,0,0,0,0,.20652173,0,.11864407,0,0,0,0,0,0,.1183432,.14678898,0,0,0,0,0,0,0,0,0,0,0,0,0,.112,0,0,0,.21818182,0,.13978495,.11111111,0,0,0,0,0,0,.15789473,.12727273,0,0,0,.12598425,0,0,.16806723,0,0,0,0,0,0,0,0,.10526316,0,0,0,0,0,0,0,.23636363,.10236221,0,.12727273,0,0,0,0,0,0,.20547946,.10909091,.13265306,0,.15714286,.22857143,0,0,0,.19827586,.11666667,0,0,0,0,0,0,0,0,0,0,0
12,Algeria,DZA,.10526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1875,0,0,0,0,0,0,0,0,.18518518,0,0,0,0,0,0,0,0,0,.13636364,0,0,0,0,0,0,0,0,.11764706,0,0,0,0,0,.25,0,0,0,0,0,0,0,0,0,0,0,0,0,.14285715,0,0,0,0,0,0,0,0,0,0,0,.2,0,0,0,.27272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.17647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15789473,0,0,0
24,Angola,AGO,0,.11258278,0,0,0,.1589404,.15135135,.16556291,.14220184,.13316584,.14569536,0,0,0,.25827813,.2331081,.11258278,0,.35911602,.17407407,0,0,.15231788,.13983051,.10596026,0,0,.12878788,0,.15286624,.19554456,0,0,0,0,.17177914,.21192053,0,0,.24571429,.13776723,0,.13375796,.29801324,0,0,.33548388,.1275,.2519685,0,.10313901,.27152318,0,0,0,.23717949,0,0,0,0,.23715416,0,.25274727,.1192053,.21355931,.29801324,.25101215,.24503312,.19243987,.24701196,.19122256,0,.15231788,0,.1192053,.13716814,.12418301,.18543047,.14569536,0,.14569536,.22485207,.14569536,.21192053,.14767933,0,.1986755,.25118482,0,0,.3245033,.26548672,.25490198,.23841059,.36423841,.22516556,.29801324,.13245033,.21212122,.27860695,0,.13907285,.30463576,.23841059,.10596026,0,.23841059,.12582782,.20253165,0,0,0,.18543047,0,.125,.25827813,.16826923,0,.29801324,.20487805,.19512194,.29801324,0,.18888889,.20108695,.25746268,.10596026,.1589404,0,0,.30327868,.14207651,.13745704,0,.25531915,0,.20529801,.125,0,.23157895,0,.17266187,.17142858,0,0,.21854305,0,.13907285,.25101215,.11258278,.14569536,0,.3245033,.23426573,.1589404,.10596026,.1790393,.18497109,0,.10596026,0,0,.36708862,0,.16666667,.1192053,.16556291
31,Azerbaijan,AZE,.24074075,0,0,0,0,0,.1027027,0,0,0,0,0,0,0,0,0,.12962963,.12037037,0,0,0,0,0,0,0,0,0,0,0,0,0,.13333334,0,0,.11111111,0,0,0,0,0,0,0,0,0,0,.10126583,0,0,0,0,0,0,0,0,0,0,.12962963,0,0,0,0,0,0,.12962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10928962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.13265306,0,0,0,.1375,0,0,.10344828,0,0,0,0,0,.11428571,.10606061,0,0,.10569106,.10476191,0
32,Argentina,ARG,0,0,0,.1589404,0,0,0,.14,0,0,.10679612,0,0,0,.21428572,0,.24285714,.10185185,0,0,0,0,.13095239,0,0,.17142858,0,0,0,0,0,0,0,0,0,.11042945,0,0,0,.11428571,0,0,0,.1632653,0,0,.15483871,0,.10236221,0,0,.19736843,0,0,0,0,0,0,0,0,0,0,0,0,.10508475,.12096774,0,.15277778,0,.11553785,0,0,.15217391,0,0,0,0,.12048193,.10619469,0,.10476191,.10650887,.10091743,.15714286,0,.11428571,.17142858,.12796208,0,0,.14084508,0,0,.17171717,.125,.10483871,.14399999,0,0,0,0,.10126583,.17204301,.20833333,.17142858,0,.14678898,.12857144,0,0,0,0,.11,0,0,.15748031,0,.17142858,.16806723,.11219512,0,.1056338,.11428571,0,0,0,0,.18421052,0,.17142858,.10655738,0,0,.14285715,0,0,0,.11875,0,.11052632,0,0,0,0,.11428571,.16438356,0,.1122449,0,0,0,.1125,.13761468,0,.14655173,0,0,0,0,0,.13333334,0,.1329114,.14285715,0,0,0
36,Australia,AUS,0,.1027027,0,.15135135,.1027027,0,0,0,.28440368,.11809045,.18378378,.1880734,0,0,0,.23986487,0,0,.1891892,.21111111,.11351351,0,.15675676,.26694915,.12972973,0,0,.20075758,0,.31351352,.14108911,.1027027,0,0,0,.22162162,.2,0,0,.2054054,.14251782,.11627907,.17197452,0,0,.13513513,.19459459,.205,.16535433,0,.14798206,0,.17429194,0,.12832929,.22162162,0,0,0,0,.22134387,0,.22162162,0,0,.12972973,.21052632,0,.20618556,.14741036,.19435737,.18378378,.16216215,0,0,.1238938,.13507625,.13513513,.11351351,0,.14054054,.27027026,.14054054,0,.12236287,0,0,.20379147,0,0,0,.21681416,.19117647,0,.14594595,.22702703,.11351351,0,.13852814,.18905473,0,0,.12432432,.1027027,0,0,0,0,0,0,0,0,.17297298,.22029702,.14594595,.12972973,.32692307,0,.14594595,.17073171,.22702703,0,0,.18611111,.14054054,.16044776,.2,0,0,0,.19672132,.18378378,0,0,.20851064,0,.15675676,0,0,.2,0,.16187051,.14920636,.13745704,0,.11351351,0,.14594595,.15384616,.12432432,.11351351,.11351351,0,.25874126,.17297298,.11351351,.21834061,.34054053,.18577981,.14054054,.16216215,0,.16756757,0,.2682927,.15675676,.17837837
40,Austria,AUT,0,0,0,.16556291,0,.14,0,0,.10550459,.10050251,.23300971,0,0,0,0,.14527027,0,.1574074,.13812155,.11111111,0,0,0,0,.11650486,0,0,0,.12539186,0,0,0,0,0,0,0,0,0,0,.12,0,0,0,0,0,0,.11612903,0,.11417323,0,0,.12,0,0,0,.25,0,0,0,0,.13043478,0,.10989011,0,0,0,0,0,0,0,.10971787,0,0,0,0,0,.10021786,0,.15044248,0,.14285715,0,.22018349,0,0,0,0,.16587678,0,0,0,.10176991,.10294118,.14,.14705883,.16935484,0,0,0,.11442786,0,0,0,.18000001,0,0,.1559633,0,0,0,0,0,0,0,0,.12598425,0,0,.12605043,0,0,0,0,0,0,0,0,0,0,0,.1352459,.1147541,.10309278,0,.12340426,0,.11811024,0,0,0,0,0,.1015873,0,0,0,0,.13,0,0,0,0,.1559633,.11538462,0,0,.12663755,0,0,.12,.13333334,0,0,0,.10162602,0,0
44,Bahamas,BHS,0,0,0,.14220184,0,0,.28440368,.10550459,0,.13316584,.12385321,.18577981,0,0,0,.19932432,0,.1559633,.1559633,.17407407,0,0,.16055046,.1822034,0,0,0,.27651516,.12852664,.24311927,.12871288,0,0,0,0,.11009175,.1146789,.11926606,0,.20183486,.1543943,.13372093,.22611465,0,0,.10550459,.16513762,.1875,.18503937,0,.20627803,0,.19607843,0,.18886198,.21100917,0,0,0,0,.24901186,0,.1559633,0,.10169491,.1146789,.18218623,0,.17869416,.15537849,.1724138,.21559633,.11009175,0,.11009175,.11946902,.11764706,0,0,0,.21559633,.1880734,.16055046,0,.13080169,0,0,.23394495,0,0,0,.2300885,.20183486,0,.12385321,.16513762,.10091743,0,.16883117,.19724771,0,0,.10091743,.13761468,0,0,0,0,0,0,0,0,.16972478,.22524753,.17889908,.12844037,.39449543,0,.1146789,.19266056,.22477064,.10091743,0,.18611111,.15137614,.10820895,.14220184,0,0,0,.16803278,.25688073,0,0,.19574468,0,.13761468,.13761468,0,.13761468,0,.17266187,.13015874,.17182131,0,0,0,.13302752,.14574899,0,.11009175,0,0,.18531469,.17431192,.11009175,.27947599,.26605505,.21559633,.11926606,.16055046,0,.12844037,0,.37398374,.16972478,.21100917
48,Bahrain,BHR,0,0,0,.13316584,0,0,.11809045,.10050251,.13316584,0,0,.41743121,0,0,0,.27135679,0,0,.21859297,.29648241,0,0,0,.2160804,.10050251,0,0,.26884422,.38693467,.10050251,.28712872,0,0,0,0,.14070351,.15326633,0,0,.15326633,.49881235,.49612403,.36683416,0,0,0,.1080402,.42250001,.25376883,0,.3115578,0,.4379085,0,.39225182,.14070351,0,0,0,0,.23115578,0,.14824121,0,.20854272,0,.28140703,0,.35175881,.1557789,.21105528,.1557789,0,0,0,.17839196,.47930282,0,0,.28140703,0,.1080402,0,0,.2361809,0,0,.20100503,0,0,0,.22613065,.21105528,0,0,0,0,0,.18844222,.18592964,0,0,0,0,0,0,0,0,.1080402,0,0,0,0,.34158415,.16834171,0,.18090452,0,0,.11809045,.10050251,0,0,.38944724,.14321607,.26130652,0,0,0,0,.20854272,.16331658,.26884422,0,.25879398,0,0,0,0,.17336683,0,.35929647,.4522613,.38442212,0,0,0,0,.17085427,0,0,0,0,.24120604,0,0,.22864321,.1281407,.35550457,0,0,0,0,0,.19346733,0,0
